name,city_name,address,room_type,price,theme,rating
그랜드 하얏트 제주,제주,제주특별자치도 제주시 노형동 12,스위트,450000,고층 수영장과 파노라마 바다 전망 미슐랭 다이닝과 스파로 완벽한 휴식을 선사,4.8
신라스테이 제주,제주,제주특별자치도 제주시 연동 17-3,2인실,180000,모던한 객실과 푹신한 베딩 시내 접근성이 뛰어난 가성비 호텔,4.3
제주 히든 클리프 호텔,제주,제주특별자치도 서귀포시 중문관광로 542,스위트,320000,인피니티 풀에서 붉은 노을을 감상할 수 있는 숲 속 럭셔리 리조트,4.6
오션 스위트 호텔,제주,제주특별자치도 제주시 삼도이동 1262-1,4인실,160000,바다 바로 앞 위치 전 객실 오션뷰와 어린이 놀이방 제공,4.1
라마다 제주 함덕,제주,제주특별자치도 제주시 조천읍 신북로 470,2인실,140000,함덕 해변 도보 1분 루프톱 바와 바다 산책로로 인기가 높음,4.2
롯데 호텔 제주,제주,제주특별자치도 서귀포시 중문관광로 72,스위트,410000,폭포 수영장·정글 키즈존 등 가족 친화형 프리미엄 리조트,4.7
제주 메종 글래드,제주,제주특별자치도 제주시 노연로 80,2인실,150000,공항 5분 거리 제주식 조식 뷔페와 산뜻한 객실 인테리어,4.0
골든튤립 제주 성산,제주,제주특별자치도 서귀포시 성산읍 일주동로 3476,4인실,130000,성산일출봉이 한눈에 루프탑 수영장과 감성 카페 보유,4.1
더 호텔 제주,제주,제주특별자치도 제주시 연동 31-10,2인실,120000,아늑한 온돌 객실 선택 가능 도심 야경이 아름다운 호텔,3.9
위 호텔 제주,제주,제주특별자치도 서귀포시 중산간서로 453-95,스위트,350000,한라산 기슭 온천수 인피니티 풀과 산속 산책로를 갖춘 힐링 리조트,4.5
파크 하얏트 도쿄,도쿄,東京都新宿区西新宿3-7-1-2,스위트,600000,52층 뉴욕 그릴에서 야경이 빛나는 하이엔드 호텔 온수풀과 스파 보유,4.9
더 리츠칼튼 도쿄,도쿄,東京都港区赤坂9-7-1,스위트,650000,미드타운 최상층에서 도쿄타워를 내려다보는 럭셔리 경험,4.8
호텔 뉴 오타니,도쿄,東京都千代田区紀尾井町4-1,4인실,300000,400년 일본식 정원과 현대식 편의시설이 공존하는 전통 명문,4.4
도큐 스테이 신주쿠,도쿄,東京都新宿区歌舞伎町1-23-15,2인실,120000,세탁기 구비된 장기투숙 친화 객실 번화가 접근성 최상,4.1
그랜드 프린스 신타카나와,도쿄,東京都港区高輪3-13-1,4인실,200000,벚꽃 명소 정원과 야외풀 패밀리 여행에 최적,4.2
도쿄 스테이션 호텔,도쿄,東京都千代田区丸の内1-9-1,스위트,450000,1915년 개관 클래식 호텔 JR역과 바로 연결,4.6
호시노야 도쿄,도쿄,東京都千代田区大手町1-9-1,스위트,550000,모던 료칸 컨셉 천연온천과 가이세키가 제공되는 도심 속 휴식처,4.7
APA 호텔 긴자 교바시,도쿄,東京都中央区京橋3-6-7,2인실,90000,가성비 숙소 도쿄역·쓰키지시장 도보권 작은 객실이지만 깔끔,3.8
세레스틴 호텔,도쿄,東京都港区芝3-23-1,2인실,160000,일본 전통미가 느껴지는 로비 라운지 조용한 숙면 환경 제공,4.3
시부야 스트림 엑셀 호텔 도큐,도쿄,東京都渋谷区渋谷3-21-3,2인실,180000,젊은 감각의 인테리어와 SNS 인기 조식 시부야역 직결,4.2
더 리츠칼튼 오사카,오사카,大阪府大阪市北区梅田2-5-25,스위트,500000,유럽풍 앤티크 인테리어와 미쉐린 레스토랑 완벽한 서비스 제공,4.8
인터컨티넨탈 오사카,오사카,大阪府大阪市北区大深町3-60,스위트,480000,그랜드 프런트 상층 뷰 담담한 럭셔리 스파와 실내풀 보유,4.7
