city_name,address,attraction_type,theme
제주,한라산 국립공원 제주특별자치도 서귀포시 성판악로 1865,자연경관,백록담 분화구와 구름 위 능선을 오르며 제주 생태를 온몸으로 느끼는 등산 명소
제주,성산 일출봉 제주특별자치도 서귀포시 성산읍 일출로 284-12,자연경관,새벽 붉은 일출이 화산 분화구를 비추는 장관 사진가들의 성지
제주,만장굴 제주특별자치도 제주시 구좌읍 만장굴길 182,동굴,세계 최대 용암동굴 신비로운 종유석과 시원한 지하 탐험
제주,협재 해수욕장 제주특별자치도 제주시 한림읍 협재리 2497,해변,코발트빛 얕은 바다와 은빛 모래 은은한 비양도 전망으로 유명
제주,애월 카페거리 제주특별자치도 제주시 애월읍 애월해안로,거리,해안도로 따라 감성 카페와 베이커리가 늘어선 인생샷 명소
제주,이호테우 해변 제주특별자치도 제주시 이호일동 1665-13,해변,말등대와 노을이 어우러진 로맨틱 산책 코스
제주,한림공원 제주특별자치도 제주시 한림읍 한림로 300,정원,야자수 정원·선인장 온실·재래식 동굴까지 한 번에 즐기는 테마파크
제주,우도 제주특별자치도 제주시 우도면 연평리,섬,땅콩 아이스크림과 에메랄드 바다 자전거 일주가 즐거운 소박한 섬
제주,용눈이오름 제주특별자치도 제주시 구좌읍 종달리 산38,오름,잔디 능선 따라 걷는 부드러운 화산언덕 넓은 들판 조망
제주,오설록 티뮤지엄 제주특별자치도 서귀포시 안덕면 신화역사로 15,박물관,초록 차밭과 현대적 전시관에서 제주 녹차 문화 체험
도쿄,도쿄 타워 東京都港区芝公園4-2-8,전망대,빨간 강철 구조물 위 150m 메인덱에서 도쿄 야경을 만끽
도쿄,메이지 신궁 東京都渋谷区代々木神園町1-1,사원,울창한 숲길 끝 거대한 도리이 도심 속 고즈넉한 신도 사원
도쿄,아키하바라 전자상가 東京都千代田区外神田,쇼핑거리,최신 전자기기·피규어·애니 굿즈 천국 오타쿠 문화 중심
도쿄,시부야 스크램블 교차로 東京都渋谷区神南1,거리,수천 명이 동시에 건너는 혼잡의 미학 네온 간판 인증샷 명소
도쿄,츠키지 장외시장 東京都中央区築地4-16-2,시장,참치 사시미와 타마고야끼 등 길거리 먹방 천국
도쿄,도쿄 스카이트리 東京都墨田区押上1-1-2,전망대,634m 전파탑 정상에서 후지산까지 조망 가능
도쿄,긴자 쇼핑거리 東京都中央区銀座,쇼핑거리,럭셔리 부티크와 백화점 미슐랭 레스토랑이 줄지어 선 번화가
도쿄,오다이바 해변공원 東京都港区台場1-4,공원,레인보우브리지 야경과 자유의 여신상 레플리카가 어우러진 데이트 명소
도쿄,우에노 공원 東京都台東区上野公園5-20,공원,벚꽃 터널과 동물원·미술관을 품은 문화 허브
도쿄,센소지 東京都台東区浅草2-3-1,사원,카미나리몬과 나카미세 상점가 1400년 역사 불교 사찰
오사카,도톤보리 大阪府大阪市中央区道頓堀,거리,글리코 네온사인 반짝이는 강변 타코야키와 쿠이다오레 거리
오사카,오사카 성 大阪府大阪市中央区大阪城1-1,역사유적,푸른 해자와 벚꽃 감싸는 천수각 도요토미 히데요시의 흔적
오사카,유니버설 스튜디오 재팬 大阪府大阪市此花区桜島2-1-33,테마파크,마리오·해리포터·미니언 어트랙션으로 하루가 모자란 놀이공원
오사카,가이유칸 大阪府大阪市港区海岸通1-1-10,수족관,거대 아크릴 수조에서 고래상어 유영을 눈앞에서 관람
오사카,신사이바시 쇼핑거리 大阪府大阪市中央区心斎橋筋,쇼핑거리,아케이드 상점가와 드럭스토어 패션·식도락 천국
오사카,우메다 스카이 빌딩 공중정원 大阪府大阪市北区大淀中1-1-88,전망대,루프 개방형 360도 전망대서 야경과 프로포즈 명소
오사카,스미요시 타이샤 大阪府大阪市住吉区住吉2-9-89,사원,붉은 아치 다리와 고대 신사 건축 양식 보존
오사카,덴노지 동물원 大阪府大阪市天王寺区茶臼山町1-108,동물원,사바나 테마 구역과 낮은 펜스로 동물 가까이 체험
오사카,쿠로몬 시장 大阪府大阪市中央区日本橋2-4-1,시장,초신선 해산물 꼬치와 고베규 스테이크 맛보기
오사카,아베노 하루카스 大阪府大阪市阿倍野区阿倍野筋1-1-43,전망대,일본 최고층 빌딩 300m 스카이덱 구름 위 걷기 체험
교토,후시미 이나리 신사 京都府京都市伏見区深草藪之内町68,사원,천 개의 주홍 도리이 터널 여우 신을 모시는 영험한 산책길
교토,기온 한야로 京都府京都市東山区祇園町,거리,전통 마치야 찻집과 게이샤 마주칠 수 있는 고즈넉한 골목
교토,금각사 京都府京都市北区金閣寺町1,사원,호수에 비친 금박 3층 누각이 사계절 내내 빛나는 절경
교토,아라시야마 대나무숲 京都府京都市西京区嵐山,자연경관,하늘을 가린 대나무길 산책 바람 소리까지 청명
교토,니시키 시장 京都府京都市中京区錦小路通,시장,교토 전통 식재료와 길거리 간식 탐험 거리
교토,기요미즈데라 京都府京都市東山区清水1-294,사원,절벽 위 무대에서 시내 조망 수험생 기원의 물 받기
교토,철학의 길 京都府京都市左京区浄土寺南田町,거리,벚꽃 물든 운하 따라 사색 산책로 은각사까지 연결
교토,교토 국제만화박물관 京都府京都市中京区烏丸通御池上ル,박물관,30만 권 만화 자유 열람 현지 작가 라이브 드로잉
교토,가모가와 강변 야카타부네 京都府京都市中京区木屋町三条下ル,체험,전통 뱃놀이와 가이세키 저녁으로 로맨틱한 밤
교토,도게츠교 京都府京都市右京区嵯峨中之島町,랜드마크,아라시야마 강 위 목조 다리 단풍·벚꽃 배경 사진 명소
나라,나라 공원 奈良県奈良市雑司町,공원,사슴들이 자유롭게 거니는 초원과 도다이지 사진 필수 코스
나라,도다이지 대불전 奈良県奈良市雑司町406-1,사원,세계 최대 목조 건물 속 거대한 청동 불상에 압도
나라,가스가 타이샤 奈良県奈良市春日野町160,사원,석등·동등 3000개가 빛내는 신비로운 신사
나라,나라 국립박물관 奈良県奈良市登大路町50,박물관,천년 불교 예술과 국보급 유물 전시
나라,야기사키 벚꽃길 奈良県奈良市高畑町,자연경관,봄이면 강둑 따라 벚꽃 터널이 펼쳐지는 산책 명소
나라,헤이조 궁터 역사공원 奈良県奈良市二条大路南3-5-1,역사유적,천평궁터 복원 공전에서 고대 일본 수도 체험
나라,니가츠도 奈良県奈良市雑司町406-1,사원,나라 야경을 한눈에 담는 목조 무대 오미즈토리 의식 유명
나라,이가야마 온천 奈良県奈良市,온천,사슴과 숲을 바라보며 노천탕에 몸 담그는 힐링
나라,모모가와 정원 카페 奈良県奈良市高畑町1028-3,카페,와비사비 정원 속 말차 라테 한적한 오후의 쉼
